loan_id,issue_date,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,fico_score,revol_util,total_pymnt,loan_status
6934,2017-02-01,15000,15000,36 months,7.44,466.18,A,4 years,OWN,20122,medical,IL,37.04,734,32.0,19789.91,0
6935,2016-05-01,20000,20000,36 months,27.65,823.49,F,< 1 year,MORTGAGE,74660,credit_card,MI,35.04,734,40.65,5901.38,1
6936,2015-09-01,5000,5000,36 months,15.66,174.95,C,< 1 year,RENT,70218,debt_consolidation,GA,31.9,759,16.83,6057.13,0
6937,2015-01-01,15000,15000,36 months,11.28,493.07,B,10+ years,OWN,115007,debt_consolidation,NC,30.09,615,31.85,18596.47,0
6938,2018-05-01,25000,25000,36 months,19.88,927.56,D,10+ years,MORTGAGE,29223,debt_consolidation,PA,17.93,666,33.81,27536.3,0
6939,2015-07-01,35000,35000,60 months,15.83,847.97,C,< 1 year,MORTGAGE,27112,debt_consolidation,NY,16.99,799,52.21,39369.06,0
6940,2015-04-01,15000,15000,36 months,10.84,489.94,B,6 years,MORTGAGE,95259,credit_card,CA,19.02,622,15.01,17233.37,0
6941,2018-02-01,10000,10000,60 months,20.24,266.28,E,10+ years,MORTGAGE,25721,debt_consolidation,MI,30.8,723,61.85,5703.0,1
6942,2018-08-01,25000,25000,60 months,23.45,711.24,E,9 years,RENT,24247,home_improvement,NC,26.58,728,34.38,8627.25,1
6943,2018-01-01,25000,25000,36 months,18.47,909.72,D,10+ years,OWN,55557,credit_card,NY,25.28,688,87.27,7150.5,1
6944,2018-05-01,20000,20000,60 months,7.37,399.52,A,6 years,MORTGAGE,47666,home_improvement,FL,41.37,810,26.61,23556.13,0
6945,2015-07-01,15000,15000,60 months,14.76,354.96,C,2 years,MORTGAGE,53809,debt_consolidation,GA,13.67,755,76.79,8586.99,1
6946,2015-03-01,30000,30000,60 months,17.64,755.94,D,3 years,RENT,67686,other,PA,34.62,819,65.04,34703.64,0
6947,2017-08-01,20000,20000,36 months,6.17,609.98,A,2 years,RENT,67913,credit_card,CA,26.52,754,69.68,24871.78,0
6948,2018-11-01,5000,5000,60 months,8.37,102.27,B,2 years,RENT,46783,home_improvement,MI,23.17,838,17.94,6675.4,0
6949,2018-11-01,35000,35000,36 months,22.29,1341.92,E,3 years,RENT,50457,debt_consolidation,PA,31.56,688,76.06,11862.45,1
6950,2015-10-01,20000,20000,60 months,5.96,386.28,A,8 years,MORTGAGE,47089,major_purchase,FL,30.78,826,25.99,26678.73,0
6951,2015-07-01,15000,15000,60 months,17.26,374.89,D,10+ years,RENT,50069,medical,IL,6.88,758,20.25,18640.33,0
6952,2017-06-01,5000,5000,36 months,15.24,173.91,C,1 year,MORTGAGE,21322,debt_consolidation,NY,38.19,763,22.65,6485.43,0
6953,2017-08-01,5000,5000,36 months,11.25,164.29,B,4 years,RENT,77175,medical,NY,37.89,805,65.79,6176.02,0
6954,2016-03-01,35000,35000,36 months,6.16,1067.31,A,< 1 year,MORTGAGE,91988,debt_consolidation,FL,24.08,638,53.5,41168.61,0
6955,2018-08-01,25000,25000,60 months,23.64,713.98,E,6 years,MORTGAGE,71858,debt_consolidation,FL,30.08,582,13.43,28032.41,0
6956,2016-04-01,5000,5000,60 months,8.31,102.13,B,4 years,RENT,68617,home_improvement,MI,24.64,670,65.61,5900.69,0
6957,2016-06-01,20000,20000,36 months,12.32,667.35,C,9 years,MORTGAGE,27055,debt_consolidation,NC,22.47,698,64.03,25659.3,0
6958,2018-02-01,10000,10000,36 months,19.67,369.96,D,1 year,RENT,20969,credit_card,GA,32.52,580,72.49,11902.84,0
6959,2017-01-01,15000,15000,60 months,19.33,391.84,D,8 years,RENT,80703,debt_consolidation,TX,28.63,849,27.29,16677.62,0
6960,2015-11-01,15000,15000,60 months,27.15,459.38,F,8 years,RENT,49868,major_purchase,MI,27.35,583,34.25,19837.81,0
6961,2018-05-01,30000,30000,36 months,13.04,1011.4,C,2 years,RENT,54269,home_improvement,PA,32.38,601,48.45,40539.45,0
6962,2016-03-01,5000,5000,36 months,8.26,157.28,B,< 1 year,MORTGAGE,55753,debt_consolidation,TX,34.96,820,15.19,907.2,1
6963,2016-08-01,5000,5000,36 months,24.29,196.93,F,6 years,RENT,57195,debt_consolidation,PA,12.99,630,38.05,2128.63,1
6964,2017-01-01,25000,25000,36 months,15.17,868.72,C,3 years,MORTGAGE,72252,medical,FL,43.54,613,72.3,33989.04,0
6965,2017-10-01,35000,35000,60 months,11.81,775.2,B,4 years,RENT,46292,credit_card,GA,26.96,606,46.46,40931.74,0
6966,2016-01-01,25000,25000,36 months,7.29,775.25,A,6 years,OTHER,15629,other,OH,44.97,707,49.28,29365.77,0
6967,2017-03-01,25000,25000,60 months,21.78,687.35,E,4 years,RENT,74090,credit_card,TX,36.22,665,15.8,32792.45,0
6968,2017-09-01,15000,15000,60 months,10.42,321.81,B,3 years,RENT,69322,debt_consolidation,PA,29.11,706,37.28,16624.83,0
6969,2015-03-01,10000,10000,60 months,18.3,255.57,D,4 years,MORTGAGE,22543,credit_card,CA,18.16,754,55.26,11289.02,0
6970,2016-12-01,5000,5000,36 months,14.15,171.25,C,1 year,MORTGAGE,24352,other,FL,31.37,830,2.71,5836.34,0
6971,2016-11-01,10000,10000,36 months,7.22,309.78,A,2 years,MORTGAGE,83265,home_improvement,MI,6.77,801,52.18,11798.63,0
6972,2017-06-01,15000,15000,60 months,15.14,357.95,C,4 years,MORTGAGE,95936,home_improvement,FL,21.65,705,49.64,20784.83,0
6973,2018-04-01,35000,35000,36 months,7.83,1094.03,A,7 years,RENT,15000,credit_card,NY,20.63,755,3.07,47994.88,0
6974,2017-10-01,20000,20000,36 months,10.86,653.45,B,7 years,MORTGAGE,63863,debt_consolidation,TX,44.94,628,65.99,23456.88,0
6975,2016-09-01,25000,25000,60 months,13.66,577.31,C,10+ years,RENT,42942,credit_card,MI,18.55,616,25.06,31500.59,0
6976,2015-09-01,10000,10000,36 months,8.48,315.58,B,< 1 year,RENT,51251,major_purchase,OH,41.08,641,13.38,11670.86,0
6977,2015-03-01,15000,15000,36 months,16.67,532.33,D,5 years,RENT,53038,debt_consolidation,NC,43.93,657,59.29,18668.62,0
6978,2015-10-01,20000,20000,36 months,22.8,772.11,E,3 years,OWN,31030,debt_consolidation,NC,44.57,751,12.11,4952.92,1
6979,2016-07-01,5000,5000,36 months,18.2,181.26,D,5 years,MORTGAGE,72518,credit_card,NY,43.42,816,38.13,1618.11,1
6980,2018-12-01,10000,10000,36 months,6.08,304.58,A,6 years,OTHER,32438,credit_card,PA,5.83,831,7.02,13214.43,0
6981,2017-04-01,20000,20000,36 months,7.8,624.88,A,2 years,MORTGAGE,76742,credit_card,PA,44.9,618,12.4,23846.84,0
6982,2015-11-01,20000,20000,36 months,14.13,684.82,C,4 years,MORTGAGE,87677,home_improvement,FL,34.5,687,64.47,26664.17,0
6983,2018-03-01,15000,15000,36 months,26.12,605.32,F,< 1 year,MORTGAGE,29047,debt_consolidation,OH,42.2,580,47.29,16837.98,0
6984,2018-06-01,25000,25000,36 months,23.93,979.9,E,8 years,OWN,29477,credit_card,FL,42.53,809,60.96,28874.67,0
6985,2018-07-01,20000,20000,36 months,20.35,746.84,E,3 years,MORTGAGE,52480,credit_card,FL,29.05,682,76.55,2358.69,1
6986,2016-12-01,20000,20000,60 months,8.28,408.21,B,6 years,OWN,120836,major_purchase,GA,41.61,684,36.09,27398.41,0
6987,2016-02-01,10000,10000,36 months,11.41,329.33,B,4 years,MORTGAGE,34350,home_improvement,GA,39.76,673,57.3,5614.13,1
6988,2016-08-01,10000,10000,60 months,13.37,229.43,C,8 years,RENT,38487,credit_card,TX,9.02,710,51.89,12255.41,0
6989,2015-11-01,5000,5000,36 months,7.96,156.59,A,3 years,RENT,59435,other,NC,22.18,741,54.65,6515.8,0
6990,2018-08-01,5000,5000,36 months,5.0,149.85,A,8 years,RENT,72697,other,NC,12.55,701,56.8,5860.57,0
6991,2016-02-01,35000,35000,60 months,25.63,1040.26,F,5 years,RENT,67250,other,PA,29.72,740,29.06,9397.09,1
6992,2018-05-01,20000,20000,60 months,11.74,442.27,B,< 1 year,OWN,49979,debt_consolidation,OH,25.65,746,63.24,8221.55,1
6993,2017-01-01,5000,5000,60 months,10.61,107.74,B,9 years,MORTGAGE,40810,major_purchase,OH,24.32,681,6.58,5508.31,0
6994,2016-09-01,10000,10000,60 months,6.57,195.99,A,< 1 year,MORTGAGE,59819,medical,CA,32.77,848,67.97,12189.85,0
6995,2018-03-01,20000,20000,36 months,27.46,821.45,F,5 years,RENT,15000,medical,TX,13.96,845,39.84,23785.28,0
6996,2017-02-01,25000,25000,60 months,13.99,581.58,C,1 year,MORTGAGE,150475,small_business,CA,17.33,795,57.21,28679.99,0
6997,2016-04-01,5000,5000,60 months,19.92,132.25,D,8 years,MORTGAGE,43849,debt_consolidation,MI,22.81,800,25.02,6179.27,0
6998,2016-01-01,15000,15000,36 months,27.39,615.52,F,9 years,OWN,54686,other,GA,23.75,696,56.14,7764.2,1
6999,2017-04-01,5000,5000,60 months,9.69,105.47,B,5 years,MORTGAGE,172754,debt_consolidation,TX,15.99,608,39.24,5552.32,0
7000,2017-02-01,15000,15000,36 months,13.69,510.41,C,5 years,MORTGAGE,31420,debt_consolidation,NY,22.94,785,59.81,17424.13,0
7001,2016-11-01,20000,20000,60 months,5.51,382.12,A,4 years,MORTGAGE,198644,debt_consolidation,NC,8.52,753,57.41,27427.09,0
7002,2016-04-01,25000,25000,36 months,7.11,773.19,A,10+ years,OWN,76404,credit_card,MI,7.07,827,33.54,34831.33,0
7003,2018-06-01,10000,10000,36 months,23.94,392.01,E,6 years,RENT,64082,major_purchase,CA,38.48,667,65.29,4970.07,1
7004,2016-07-01,10000,10000,36 months,18.26,362.83,D,6 years,MORTGAGE,72138,debt_consolidation,GA,42.87,593,16.72,12566.47,0
7005,2015-05-01,35000,35000,36 months,9.43,1120.01,B,10+ years,MORTGAGE,29587,debt_consolidation,NY,23.56,834,61.12,42995.68,0
7006,2016-02-01,5000,5000,36 months,8.57,158.0,B,9 years,RENT,18226,home_improvement,NC,41.95,834,72.42,6996.89,0
7007,2016-10-01,20000,20000,60 months,15.99,486.25,C,2 years,RENT,24142,debt_consolidation,NY,30.76,825,12.82,4288.83,1
7008,2015-04-01,20000,20000,60 months,7.26,398.48,A,1 year,RENT,94131,credit_card,NY,23.58,848,58.27,24220.77,0
7009,2017-09-01,25000,25000,36 months,9.37,799.31,B,8 years,MORTGAGE,27963,debt_consolidation,NC,43.03,792,33.23,27828.95,0
7010,2015-12-01,20000,20000,60 months,11.01,434.95,B,1 year,MORTGAGE,18170,debt_consolidation,CA,5.23,825,46.12,22494.18,0
7011,2017-11-01,15000,15000,60 months,11.76,331.85,B,4 years,RENT,46742,major_purchase,GA,24.87,711,43.37,17609.01,0
7012,2017-04-01,5000,5000,36 months,20.82,187.91,E,1 year,MORTGAGE,69204,credit_card,FL,29.25,674,31.89,6941.57,0
7013,2018-02-01,20000,20000,36 months,10.73,652.22,B,5 years,OWN,50170,home_improvement,MI,30.26,681,52.31,8251.67,1
7014,2016-08-01,20000,20000,36 months,5.09,600.23,A,7 years,OTHER,70532,major_purchase,GA,28.54,844,26.38,22308.35,0
7015,2018-04-01,20000,20000,60 months,12.21,447.01,C,7 years,MORTGAGE,98027,debt_consolidation,CA,35.38,763,59.44,22085.81,0
7016,2015-07-01,30000,30000,60 months,20.32,800.17,E,3 years,MORTGAGE,69062,major_purchase,TX,36.62,665,31.88,41092.22,0
7017,2015-08-01,15000,15000,36 months,8.52,473.65,B,4 years,OWN,44692,debt_consolidation,CA,42.37,617,8.42,18074.7,0
7018,2016-02-01,35000,35000,36 months,7.0,1080.7,A,6 years,RENT,35362,debt_consolidation,CA,11.92,689,56.69,45588.42,0
7019,2015-04-01,10000,10000,60 months,9.91,212.03,B,2 years,MORTGAGE,77845,major_purchase,MI,32.28,701,33.41,13654.36,0
7020,2016-10-01,10000,10000,36 months,19.09,367.02,D,10+ years,RENT,57825,debt_consolidation,GA,16.21,772,14.33,12004.21,0
7021,2017-02-01,5000,5000,36 months,15.02,173.38,C,< 1 year,OWN,29247,debt_consolidation,NC,37.18,754,61.71,1472.74,1
7022,2015-09-01,5000,5000,60 months,21.94,137.92,E,3 years,OWN,107077,credit_card,CA,32.95,817,32.07,6088.95,0
7023,2017-09-01,15000,15000,60 months,26.6,454.45,F,1 year,MORTGAGE,57371,other,MI,24.44,838,45.79,18190.12,0
7024,2016-06-01,20000,20000,60 months,18.19,509.94,D,4 years,MORTGAGE,72529,major_purchase,TX,6.15,825,59.94,26758.94,0
7025,2016-01-01,15000,15000,60 months,13.19,342.76,C,1 year,RENT,38746,debt_consolidation,FL,32.77,593,19.17,18758.57,0
7026,2017-03-01,20000,20000,60 months,15.85,484.77,C,10+ years,RENT,96609,credit_card,CA,23.08,728,39.4,22253.49,0
7027,2015-10-01,15000,15000,60 months,7.43,300.07,A,9 years,OTHER,18935,debt_consolidation,NC,11.12,837,27.1,18989.4,0
7028,2018-12-01,5000,5000,36 months,30.66,214.07,G,3 years,RENT,133960,credit_card,NC,41.59,844,38.6,2578.96,1
7029,2017-07-01,10000,10000,36 months,8.11,313.87,B,9 years,MORTGAGE,15316,other,NY,41.13,749,42.88,5397.08,1
7030,2015-02-01,10000,10000,36 months,7.56,311.34,A,< 1 year,RENT,21461,credit_card,CA,40.12,825,62.18,13947.4,0
7031,2017-02-01,20000,20000,36 months,18.67,729.79,D,8 years,OWN,57016,debt_consolidation,FL,24.39,751,62.56,7026.41,1
7032,2017-01-01,25000,25000,36 months,8.14,785.02,B,4 years,RENT,35651,credit_card,GA,41.6,642,35.77,29410.23,0
7033,2015-07-01,10000,10000,60 months,14.03,232.84,C,< 1 year,MORTGAGE,40255,small_business,CA,17.66,823,7.28,11865.6,0
7034,2017-08-01,10000,10000,36 months,12.32,333.67,C,4 years,OWN,35644,debt_consolidation,PA,38.0,622,11.36,11195.41,0
7035,2017-04-01,20000,20000,36 months,8.04,627.1,B,10+ years,RENT,30642,major_purchase,OH,26.9,638,57.51,26622.6,0
7036,2018-11-01,35000,35000,60 months,23.47,996.14,E,6 years,OWN,59289,debt_consolidation,NY,29.22,732,58.56,42172.0,0
7037,2016-07-01,10000,10000,36 months,9.78,321.64,B,2 years,RENT,47613,other,NC,44.37,839,78.88,12351.51,0
7038,2015-09-01,10000,10000,60 months,11.87,221.79,B,4 years,RENT,83358,debt_consolidation,TX,18.71,674,27.44,12744.37,0
7039,2017-04-01,10000,10000,60 months,13.74,231.34,C,6 years,MORTGAGE,51436,credit_card,FL,9.42,764,38.22,12631.44,0
7040,2015-10-01,10000,10000,36 months,17.82,360.62,D,9 years,OWN,38174,medical,FL,18.88,648,19.08,13551.66,0
7041,2018-03-01,15000,15000,60 months,19.14,390.26,D,9 years,RENT,78016,debt_consolidation,MI,36.31,668,36.62,19771.6,0
7042,2016-05-01,15000,15000,60 months,11.04,326.44,B,4 years,RENT,16328,other,NC,28.04,711,12.18,19894.83,0
7043,2017-04-01,10000,10000,60 months,15.76,241.91,C,4 years,MORTGAGE,15000,debt_consolidation,CA,10.99,589,59.52,12196.1,0
7044,2017-06-01,10000,10000,36 months,6.01,304.26,A,< 1 year,RENT,18907,home_improvement,CA,42.91,793,56.85,12915.36,0
7045,2018-03-01,10000,10000,60 months,27.69,309.49,F,5 years,MORTGAGE,39890,debt_consolidation,IL,10.99,682,8.15,11856.19,0
7046,2016-11-01,20000,20000,36 months,11.23,656.95,B,8 years,RENT,61999,debt_consolidation,OH,12.47,658,59.6,24988.61,0
7047,2018-10-01,20000,20000,60 months,18.51,513.43,D,4 years,RENT,15000,other,FL,13.25,835,49.47,23112.09,0
7048,2015-04-01,10000,10000,60 months,5.85,192.63,A,6 years,RENT,48680,home_improvement,FL,5.38,824,61.16,12769.47,0
7049,2015-10-01,25000,25000,60 months,8.58,513.88,B,1 year,MORTGAGE,39626,debt_consolidation,MI,21.4,841,40.43,29308.22,0
7050,2018-07-01,30000,30000,60 months,15.22,717.17,C,1 year,RENT,53219,home_improvement,TX,43.9,605,27.24,40557.97,0
7051,2015-02-01,15000,15000,36 months,23.41,583.86,E,< 1 year,RENT,15606,credit_card,NC,7.76,624,5.98,20848.32,0
7052,2016-02-01,30000,30000,36 months,13.98,1025.04,C,9 years,RENT,235427,home_improvement,TX,23.33,581,26.13,38413.06,0
7053,2018-07-01,20000,20000,36 months,25.6,801.56,F,8 years,RENT,49986,major_purchase,NY,27.06,732,39.0,4335.0,1
7054,2016-11-01,10000,10000,36 months,15.47,348.96,C,5 years,RENT,23616,major_purchase,NY,11.1,653,29.05,2527.82,1
7055,2018-12-01,10000,10000,36 months,15.63,349.75,C,10+ years,RENT,52979,credit_card,MI,24.2,813,56.18,11642.76,0
7056,2015-06-01,20000,20000,36 months,6.17,609.98,A,8 years,RENT,120199,credit_card,TX,13.39,784,51.0,25606.53,0
7057,2016-09-01,10000,10000,36 months,21.35,378.55,E,4 years,MORTGAGE,22652,credit_card,MI,22.79,612,53.88,12020.92,0
7058,2017-09-01,5000,5000,60 months,8.59,102.8,B,4 years,RENT,19992,major_purchase,TX,23.24,779,7.57,6907.51,0
7059,2015-11-01,10000,10000,60 months,21.15,271.38,E,9 years,MORTGAGE,45669,debt_consolidation,MI,38.41,732,47.67,13266.41,0
7060,2018-06-01,5000,5000,60 months,25.3,147.64,F,7 years,MORTGAGE,48068,credit_card,NY,10.63,667,51.11,1172.91,1
7061,2017-02-01,30000,30000,60 months,25.99,898.04,F,10+ years,RENT,75029,small_business,IL,6.71,679,7.44,15154.81,1
7062,2016-03-01,20000,20000,36 months,14.9,692.33,C,3 years,MORTGAGE,118797,home_improvement,FL,19.93,594,69.01,23616.09,0
7063,2018-07-01,5000,5000,60 months,16.6,123.19,D,3 years,OWN,78276,credit_card,FL,29.67,842,74.21,5793.75,0
7064,2016-08-01,5000,5000,36 months,17.48,179.46,D,2 years,RENT,21319,credit_card,PA,9.85,591,21.9,6705.83,0
7065,2017-10-01,5000,5000,36 months,5.23,150.37,A,< 1 year,RENT,25780,credit_card,IL,24.37,827,26.59,6291.51,0
7066,2016-12-01,25000,25000,60 months,13.06,569.59,C,7 years,OWN,30364,debt_consolidation,IL,24.9,669,40.68,29970.35,0
7067,2018-09-01,25000,25000,36 months,5.86,758.96,A,4 years,RENT,78167,home_improvement,GA,23.61,655,59.41,31030.3,0
7068,2016-05-01,20000,20000,36 months,12.58,669.84,C,< 1 year,MORTGAGE,70546,debt_consolidation,MI,36.03,703,34.8,23207.86,0
7069,2017-02-01,10000,10000,36 months,6.03,304.36,A,6 years,MORTGAGE,104497,medical,MI,42.6,721,38.01,12230.39,0
7070,2016-07-01,35000,35000,60 months,7.46,700.66,A,5 years,MORTGAGE,68519,debt_consolidation,NC,37.31,811,44.87,47391.32,0
7071,2018-01-01,25000,25000,36 months,10.98,818.23,B,2 years,RENT,33641,debt_consolidation,OH,10.82,627,31.44,8978.26,1
7072,2017-11-01,20000,20000,36 months,11.14,656.1,B,< 1 year,MORTGAGE,43561,debt_consolidation,NY,11.11,827,22.55,23422.74,0
7073,2018-11-01,20000,20000,36 months,13.88,682.39,C,10+ years,MORTGAGE,20397,credit_card,TX,33.11,805,44.92,26596.44,0
7074,2016-11-01,15000,15000,60 months,7.85,303.07,A,6 years,MORTGAGE,71459,debt_consolidation,IL,33.77,722,46.95,20095.64,0
7075,2017-05-01,20000,20000,36 months,15.84,701.56,C,7 years,OWN,33670,home_improvement,MI,29.15,778,10.62,26292.43,0
7076,2016-07-01,10000,10000,60 months,5.61,191.52,A,5 years,RENT,102188,credit_card,GA,31.43,820,6.66,11653.49,0
7077,2016-06-01,20000,20000,60 months,12.22,447.12,C,7 years,MORTGAGE,70275,home_improvement,GA,7.86,746,38.05,24381.38,0
7078,2018-08-01,10000,10000,36 months,14.15,342.51,C,7 years,OWN,156811,debt_consolidation,FL,35.53,707,52.1,12582.4,0
7079,2018-04-01,35000,35000,60 months,12.8,792.78,C,6 years,MORTGAGE,63062,debt_consolidation,OH,34.08,698,18.89,38735.91,0
7080,2018-10-01,35000,35000,60 months,17.75,884.02,D,7 years,RENT,62357,debt_consolidation,IL,11.43,763,18.77,48804.36,0
7081,2017-04-01,10000,10000,36 months,9.54,320.52,B,8 years,OWN,43935,major_purchase,IL,7.16,741,29.35,12107.45,0
7082,2015-03-01,25000,25000,36 months,16.64,886.85,D,10+ years,MORTGAGE,38919,debt_consolidation,NY,20.8,745,42.31,33314.23,0
7083,2016-12-01,5000,5000,60 months,10.7,107.97,B,10+ years,MORTGAGE,41974,other,PA,10.51,781,43.65,6432.07,0
7084,2018-05-01,10000,10000,60 months,14.82,236.96,C,6 years,RENT,89276,debt_consolidation,NC,20.06,677,75.02,13651.71,0
7085,2018-07-01,10000,10000,36 months,13.79,340.76,C,6 years,MORTGAGE,21825,home_improvement,MI,28.51,769,64.41,2794.15,1
7086,2018-10-01,20000,20000,36 months,6.99,617.45,A,7 years,MORTGAGE,50919,credit_card,IL,35.43,594,13.7,27764.47,0
7087,2017-10-01,30000,30000,36 months,19.73,1110.78,D,8 years,MORTGAGE,18037,credit_card,PA,31.9,691,13.81,33945.72,0
7088,2016-12-01,10000,10000,60 months,14.91,237.43,C,6 years,MORTGAGE,61315,credit_card,IL,10.83,785,16.37,13143.99,0
7089,2017-08-01,15000,15000,36 months,9.24,478.67,B,4 years,RENT,37230,major_purchase,IL,22.64,674,76.44,17401.86,0
7090,2017-03-01,15000,15000,36 months,6.87,462.27,A,5 years,RENT,66315,debt_consolidation,IL,35.9,624,65.0,20133.25,0
7091,2016-06-01,15000,15000,36 months,8.0,470.05,A,3 years,RENT,31398,other,MI,19.38,724,28.98,20824.64,0
7092,2016-08-01,20000,20000,60 months,24.76,584.22,F,< 1 year,MORTGAGE,42016,credit_card,NY,30.43,660,17.05,26077.5,0
7093,2015-03-01,20000,20000,60 months,19.28,521.9,D,2 years,RENT,71640,home_improvement,GA,34.95,812,16.62,25204.88,0
7094,2015-09-01,15000,15000,60 months,7.81,302.78,A,8 years,RENT,52866,credit_card,OH,26.83,797,23.82,20659.5,0
7095,2015-11-01,25000,25000,36 months,9.08,795.92,B,1 year,OWN,123707,home_improvement,FL,39.23,691,78.84,31593.84,0
7096,2015-07-01,20000,20000,36 months,14.83,691.64,C,8 years,RENT,36719,credit_card,OH,8.49,738,25.33,24057.38,0
7097,2016-02-01,10000,10000,36 months,21.01,376.8,E,3 years,MORTGAGE,34863,small_business,FL,16.84,686,21.5,2322.7,1
7098,2018-05-01,15000,15000,36 months,5.21,450.98,A,7 years,RENT,102957,debt_consolidation,FL,13.16,756,32.42,18433.3,0
7099,2016-10-01,35000,35000,36 months,9.16,1115.6,B,8 years,MORTGAGE,39327,debt_consolidation,OH,7.34,658,19.18,41497.49,0
7100,2016-08-01,20000,20000,36 months,21.69,760.61,E,7 years,MORTGAGE,38256,debt_consolidation,CA,26.8,687,14.47,3778.37,1
7101,2018-06-01,15000,15000,36 months,6.45,459.39,A,4 years,MORTGAGE,61688,debt_consolidation,TX,27.77,613,42.02,17526.1,0
7102,2015-07-01,10000,10000,60 months,10.57,215.29,B,6 years,RENT,44430,medical,TX,36.02,756,38.11,11000.81,0
7103,2018-08-01,15000,15000,60 months,26.49,453.47,F,9 years,RENT,40662,credit_card,NC,34.63,701,63.02,3636.26,1
7104,2018-11-01,5000,5000,60 months,13.12,114.07,C,6 years,MORTGAGE,32344,debt_consolidation,FL,10.21,597,55.44,6187.15,0
7105,2015-05-01,15000,15000,36 months,10.7,488.95,B,9 years,OWN,111012,debt_consolidation,CA,26.49,831,11.94,18999.84,0
7106,2015-01-01,25000,25000,36 months,7.53,778.0,A,10+ years,RENT,44784,debt_consolidation,NC,6.08,663,43.9,3188.94,1
7107,2018-02-01,15000,15000,60 months,5.09,283.69,A,10+ years,RENT,34986,debt_consolidation,OH,5.72,752,20.87,16842.23,0
7108,2018-03-01,25000,25000,36 months,9.92,805.74,B,< 1 year,MORTGAGE,41022,credit_card,CA,32.79,724,58.52,11016.89,1
7109,2017-03-01,5000,5000,36 months,20.57,187.27,E,7 years,MORTGAGE,60654,credit_card,IL,44.75,808,18.69,730.24,1
7110,2016-12-01,5000,5000,36 months,10.63,162.82,B,8 years,MORTGAGE,117803,medical,NC,5.82,841,61.54,6053.13,0
7111,2018-05-01,20000,20000,36 months,17.09,713.95,D,7 years,MORTGAGE,44290,home_improvement,MI,34.6,727,48.93,23974.64,0
7112,2016-01-01,20000,20000,36 months,25.14,796.68,F,5 years,MORTGAGE,29211,major_purchase,MI,25.45,842,12.99,27473.11,0
7113,2017-08-01,20000,20000,60 months,10.12,426.12,B,9 years,OWN,155021,credit_card,IL,21.76,802,46.65,24402.32,0
7114,2017-12-01,30000,30000,36 months,7.3,930.43,A,3 years,RENT,53174,home_improvement,IL,12.04,636,53.49,33906.36,0
7115,2017-11-01,15000,15000,60 months,15.63,361.83,C,3 years,MORTGAGE,46002,debt_consolidation,PA,18.27,742,43.19,17397.39,0
7116,2016-08-01,20000,20000,60 months,24.77,584.33,F,8 years,RENT,51179,other,OH,22.2,686,39.45,24123.29,0
7117,2016-04-01,10000,10000,36 months,22.18,382.84,E,6 years,RENT,23218,debt_consolidation,TX,20.28,836,56.17,11117.86,0
7118,2017-12-01,20000,20000,60 months,6.86,394.7,A,5 years,MORTGAGE,47703,debt_consolidation,FL,10.94,617,27.57,26451.94,0
7119,2015-12-01,25000,25000,36 months,17.03,891.69,D,7 years,MORTGAGE,77324,credit_card,CA,11.41,815,63.83,30713.42,0
7120,2016-02-01,20000,20000,36 months,15.32,696.44,C,10+ years,OTHER,101933,debt_consolidation,NY,33.15,799,38.69,26398.64,0
7121,2018-06-01,25000,25000,36 months,26.74,1017.15,F,10+ years,MORTGAGE,39540,medical,IL,36.64,588,28.19,34843.77,0
7122,2018-05-01,15000,15000,60 months,7.1,297.73,A,2 years,RENT,54872,other,NC,12.07,599,19.13,16961.89,0
7123,2017-12-01,10000,10000,36 months,12.86,336.27,C,9 years,MORTGAGE,103030,debt_consolidation,NY,5.28,804,5.23,11355.05,0
7124,2018-10-01,10000,10000,36 months,23.57,390.07,E,6 years,RENT,50137,other,OH,14.78,699,50.54,11202.23,0
7125,2016-10-01,25000,25000,60 months,11.86,554.34,B,4 years,RENT,75484,home_improvement,MI,23.97,726,24.23,33286.13,0
7126,2018-05-01,25000,25000,60 months,12.81,566.4,C,10+ years,RENT,63233,other,OH,14.08,608,39.67,32617.34,0
7127,2016-08-01,10000,10000,36 months,6.29,305.54,A,< 1 year,RENT,32906,major_purchase,PA,41.97,625,52.3,13223.7,0
7128,2017-04-01,15000,15000,36 months,11.95,497.86,B,4 years,MORTGAGE,28291,debt_consolidation,NY,20.58,759,40.04,4584.97,1
7129,2015-10-01,30000,30000,36 months,9.25,957.49,B,4 years,RENT,92558,credit_card,IL,42.94,695,21.89,37283.49,0
7130,2016-03-01,5000,5000,60 months,25.64,148.64,F,3 years,OTHER,15000,credit_card,GA,44.79,653,61.45,1884.81,1
7131,2015-12-01,10000,10000,60 months,8.37,204.54,B,1 year,MORTGAGE,32821,debt_consolidation,MI,16.61,759,45.1,11862.28,0
7132,2015-06-01,20000,20000,36 months,15.83,701.46,C,10+ years,MORTGAGE,21222,debt_consolidation,NY,23.94,750,56.91,25702.41,0
7133,2015-07-01,5000,5000,60 months,17.43,125.42,D,< 1 year,MORTGAGE,92640,credit_card,TX,10.15,748,53.31,1100.79,1
7134,2018-01-01,20000,20000,60 months,6.4,390.39,A,< 1 year,RENT,111175,home_improvement,FL,22.87,798,33.95,22429.04,0
